goos: linux
goarch: amd64
pkg: luabench
cpu: AMD Ryzen 9 9900X3D 12-Core Processor          
BenchmarkApogee-6                 	    1558	    771342 ns/op	      62 B/op	       0 allocs/op
BenchmarkApogee-6                 	    1551	    772443 ns/op	      62 B/op	       0 allocs/op
BenchmarkApogee-6                 	    1557	    769729 ns/op	      62 B/op	       0 allocs/op
BenchmarkApogee-6                 	    1555	    767567 ns/op	      62 B/op	       0 allocs/op
BenchmarkApogee-6                 	    1561	    766050 ns/op	      61 B/op	       0 allocs/op
BenchmarkApogee-6                 	    1558	    772395 ns/op	      62 B/op	       0 allocs/op
BenchmarkApogeeNumberFunction-6   	    1612	    740134 ns/op	      59 B/op	       0 allocs/op
BenchmarkApogeeNumberFunction-6   	    1634	    731824 ns/op	      58 B/op	       0 allocs/op
BenchmarkApogeeNumberFunction-6   	    1629	    736579 ns/op	      58 B/op	       0 allocs/op
BenchmarkApogeeNumberFunction-6   	    1633	    740561 ns/op	      58 B/op	       0 allocs/op
BenchmarkApogeeNumberFunction-6   	    1626	    737949 ns/op	      58 B/op	       0 allocs/op
BenchmarkApogeeNumberFunction-6   	    1616	    744508 ns/op	      58 B/op	       0 allocs/op
BenchmarkApogeeNoCall-6           	    2582	    459688 ns/op	     474 B/op	       0 allocs/op
BenchmarkApogeeNoCall-6           	    2612	    455684 ns/op	     469 B/op	       0 allocs/op
BenchmarkApogeeNoCall-6           	    2619	    457151 ns/op	     468 B/op	       0 allocs/op
BenchmarkApogeeNoCall-6           	    2600	    455933 ns/op	     471 B/op	       0 allocs/op
BenchmarkApogeeNoCall-6           	    2605	    455678 ns/op	     470 B/op	       0 allocs/op
BenchmarkApogeeNoCall-6           	    2595	    455451 ns/op	     472 B/op	       0 allocs/op
BenchmarkApogeeBuffer/jit-6       	    4725	    249240 ns/op	      45 B/op	       0 allocs/op
BenchmarkApogeeBuffer/jit-6       	    4773	    249194 ns/op	      45 B/op	       0 allocs/op
BenchmarkApogeeBuffer/jit-6       	    4772	    249618 ns/op	      45 B/op	       0 allocs/op
BenchmarkApogeeBuffer/jit-6       	    4717	    249083 ns/op	      46 B/op	       0 allocs/op
BenchmarkApogeeBuffer/jit-6       	    4774	    249040 ns/op	      45 B/op	       0 allocs/op
BenchmarkApogeeBuffer/jit-6       	    4717	    249609 ns/op	      46 B/op	       0 allocs/op
BenchmarkApogeeBuffer/interpreted-6         	     742	   1604865 ns/op	       2 B/op	       0 allocs/op
BenchmarkApogeeBuffer/interpreted-6         	     746	   1604375 ns/op	       2 B/op	       0 allocs/op
BenchmarkApogeeBuffer/interpreted-6         	     744	   1605199 ns/op	       2 B/op	       0 allocs/op
BenchmarkApogeeBuffer/interpreted-6         	     746	   1604797 ns/op	       2 B/op	       0 allocs/op
BenchmarkApogeeBuffer/interpreted-6         	     746	   1605044 ns/op	       2 B/op	       0 allocs/op
BenchmarkApogeeBuffer/interpreted-6         	     745	   1605703 ns/op	       2 B/op	       0 allocs/op
BenchmarkGoParticles-6                      	  230912	      5200 ns/op	       0 B/op	       0 allocs/op
BenchmarkGoParticles-6                      	  230822	      5204 ns/op	       0 B/op	       0 allocs/op
BenchmarkGoParticles-6                      	  230833	      5211 ns/op	       0 B/op	       0 allocs/op
BenchmarkGoParticles-6                      	  229896	      5213 ns/op	       0 B/op	       0 allocs/op
BenchmarkGoParticles-6                      	  230529	      5200 ns/op	       0 B/op	       0 allocs/op
BenchmarkGoParticles-6                      	  230412	      5196 ns/op	       0 B/op	       0 allocs/op
BenchmarkApogeeParticles-6                  	   14287	     84244 ns/op	      12 B/op	       0 allocs/op
BenchmarkApogeeParticles-6                  	   14288	     83656 ns/op	      12 B/op	       0 allocs/op
BenchmarkApogeeParticles-6                  	   14167	     84206 ns/op	      12 B/op	       0 allocs/op
BenchmarkApogeeParticles-6                  	   14304	     84113 ns/op	      12 B/op	       0 allocs/op
BenchmarkApogeeParticles-6                  	   14323	     83870 ns/op	      12 B/op	       0 allocs/op
BenchmarkApogeeParticles-6                  	   14061	     84018 ns/op	      12 B/op	       0 allocs/op
BenchmarkStandard/bounce/apogee-6           	    2107	    565238 ns/op	   32021 B/op	     211 allocs/op
BenchmarkStandard/bounce/apogee-6           	    2127	    562134 ns/op	   32022 B/op	     211 allocs/op
BenchmarkStandard/bounce/apogee-6           	    2128	    561677 ns/op	   32038 B/op	     211 allocs/op
BenchmarkStandard/bounce/apogee-6           	    2128	    562764 ns/op	   32033 B/op	     211 allocs/op
BenchmarkStandard/bounce/apogee-6           	    2118	    562387 ns/op	   32021 B/op	     211 allocs/op
BenchmarkStandard/bounce/apogee-6           	    2122	    562217 ns/op	   32031 B/op	     211 allocs/op
BenchmarkStandard/bounce/apogee-jit-6       	    6847	    165284 ns/op	   32080 B/op	     211 allocs/op
BenchmarkStandard/bounce/apogee-jit-6       	    7064	    163894 ns/op	   32078 B/op	     211 allocs/op
BenchmarkStandard/bounce/apogee-jit-6       	    6746	    172194 ns/op	   32080 B/op	     211 allocs/op
BenchmarkStandard/bounce/apogee-jit-6       	    6686	    169084 ns/op	   32084 B/op	     211 allocs/op
BenchmarkStandard/bounce/apogee-jit-6       	    7136	    163222 ns/op	   32076 B/op	     211 allocs/op
BenchmarkStandard/bounce/apogee-jit-6       	    6753	    169792 ns/op	   32082 B/op	     211 allocs/op
BenchmarkStandard/bounce/shopify-6          	     562	   2107399 ns/op	  527293 B/op	   40271 allocs/op
BenchmarkStandard/bounce/shopify-6          	     574	   2105200 ns/op	  527294 B/op	   40271 allocs/op
BenchmarkStandard/bounce/shopify-6          	     566	   2119080 ns/op	  527292 B/op	   40271 allocs/op
BenchmarkStandard/bounce/shopify-6          	     566	   2119234 ns/op	  527292 B/op	   40271 allocs/op
BenchmarkStandard/bounce/shopify-6          	     570	   2103713 ns/op	  527291 B/op	   40271 allocs/op
BenchmarkStandard/bounce/shopify-6          	     571	   2121465 ns/op	  527293 B/op	   40271 allocs/op
BenchmarkStandard/cd/apogee-6               	      25	  46507495 ns/op	30748142 B/op	  244089 allocs/op
BenchmarkStandard/cd/apogee-6               	      25	  46574834 ns/op	30748160 B/op	  244090 allocs/op
BenchmarkStandard/cd/apogee-6               	      24	  46656109 ns/op	30748892 B/op	  244091 allocs/op
BenchmarkStandard/cd/apogee-6               	      25	  46468062 ns/op	30746691 B/op	  244090 allocs/op
BenchmarkStandard/cd/apogee-6               	      24	  46428580 ns/op	30747993 B/op	  244090 allocs/op
BenchmarkStandard/cd/apogee-6               	      25	  46737734 ns/op	30746678 B/op	  244089 allocs/op
BenchmarkStandard/cd/apogee-jit-6           	      27	  38254397 ns/op	30907987 B/op	  244192 allocs/op
BenchmarkStandard/cd/apogee-jit-6           	      28	  37600710 ns/op	30902169 B/op	  244188 allocs/op
BenchmarkStandard/cd/apogee-jit-6           	      27	  38797431 ns/op	30909266 B/op	  244193 allocs/op
BenchmarkStandard/cd/apogee-jit-6           	      27	  38072144 ns/op	30909258 B/op	  244193 allocs/op
BenchmarkStandard/cd/apogee-jit-6           	      27	  38221205 ns/op	30908586 B/op	  244193 allocs/op
BenchmarkStandard/cd/apogee-jit-6           	      27	  37875682 ns/op	30908536 B/op	  244192 allocs/op
BenchmarkStandard/cd/shopify-6              	       8	 155206479 ns/op	126163596 B/op	 2235264 allocs/op
BenchmarkStandard/cd/shopify-6              	       8	 156345570 ns/op	126163626 B/op	 2235264 allocs/op
BenchmarkStandard/cd/shopify-6              	       8	 155308852 ns/op	126163610 B/op	 2235264 allocs/op
BenchmarkStandard/cd/shopify-6              	       8	 155870014 ns/op	126163606 B/op	 2235264 allocs/op
BenchmarkStandard/cd/shopify-6              	       8	 154839739 ns/op	126163642 B/op	 2235264 allocs/op
BenchmarkStandard/cd/shopify-6              	       8	 156262610 ns/op	126163656 B/op	 2235265 allocs/op
BenchmarkStandard/deltablue/apogee-6        	      33	  33449560 ns/op	10113513 B/op	   88492 allocs/op
BenchmarkStandard/deltablue/apogee-6        	      33	  33588207 ns/op	10097663 B/op	   88490 allocs/op
BenchmarkStandard/deltablue/apogee-6        	      34	  33498021 ns/op	10108040 B/op	   88491 allocs/op
BenchmarkStandard/deltablue/apogee-6        	      34	  33370115 ns/op	10080082 B/op	   88488 allocs/op
BenchmarkStandard/deltablue/apogee-6        	      33	  33424442 ns/op	10111107 B/op	   88492 allocs/op
BenchmarkStandard/deltablue/apogee-6        	      34	  33472706 ns/op	10115875 B/op	   88492 allocs/op
BenchmarkStandard/deltablue/apogee-jit-6    	      57	  20401925 ns/op	10165221 B/op	   88546 allocs/op
BenchmarkStandard/deltablue/apogee-jit-6    	      57	  20515806 ns/op	10177733 B/op	   88548 allocs/op
BenchmarkStandard/deltablue/apogee-jit-6    	      58	  20405586 ns/op	10165917 B/op	   88545 allocs/op
BenchmarkStandard/deltablue/apogee-jit-6    	      57	  20536152 ns/op	10162718 B/op	   88546 allocs/op
BenchmarkStandard/deltablue/apogee-jit-6    	      57	  20436289 ns/op	10164772 B/op	   88546 allocs/op
BenchmarkStandard/deltablue/apogee-jit-6    	      57	  20592942 ns/op	10160558 B/op	   88546 allocs/op
BenchmarkStandard/deltablue/shopify-6       	       1	1409415546 ns/op	33561720 B/op	 1173630 allocs/op
BenchmarkStandard/deltablue/shopify-6       	       1	1454796190 ns/op	33561720 B/op	 1173630 allocs/op
BenchmarkStandard/deltablue/shopify-6       	       1	1407668345 ns/op	33561848 B/op	 1173631 allocs/op
BenchmarkStandard/deltablue/shopify-6       	       1	1688507348 ns/op	33561720 B/op	 1173630 allocs/op
BenchmarkStandard/deltablue/shopify-6       	       1	1342989955 ns/op	33561704 B/op	 1173630 allocs/op
BenchmarkStandard/deltablue/shopify-6       	       1	1325268124 ns/op	33561936 B/op	 1173633 allocs/op
BenchmarkStandard/havlak/apogee-6           	       1	2118300315 ns/op	1520066904 B/op	13924540 allocs/op
