goos: darwin
goarch: arm64
pkg: luabench
cpu: Apple M1 Pro
BenchmarkLuart-10                  	     838	   1357158 ns/op	      75 B/op	       0 allocs/op
BenchmarkLuart-10                  	     885	   1365716 ns/op	      71 B/op	       0 allocs/op
BenchmarkLuart-10                  	     874	   1356788 ns/op	      72 B/op	       0 allocs/op
BenchmarkLuart-10                  	     892	   1365185 ns/op	      71 B/op	       0 allocs/op
BenchmarkLuart-10                  	     885	   1349812 ns/op	      71 B/op	       0 allocs/op
BenchmarkLuart-10                  	     891	   1352144 ns/op	      71 B/op	       0 allocs/op
BenchmarkLuartNumberFunction-10    	     996	   1202342 ns/op	      62 B/op	       0 allocs/op
BenchmarkLuartNumberFunction-10    	     997	   1202916 ns/op	      62 B/op	       0 allocs/op
BenchmarkLuartNumberFunction-10    	     998	   1195620 ns/op	      62 B/op	       0 allocs/op
BenchmarkLuartNumberFunction-10    	     997	   1212321 ns/op	      62 B/op	       0 allocs/op
BenchmarkLuartNumberFunction-10    	     998	   1193038 ns/op	      62 B/op	       0 allocs/op
BenchmarkLuartNumberFunction-10    	    1004	   1195091 ns/op	      61 B/op	       0 allocs/op
BenchmarkLuartNoCall-10            	    1790	    672376 ns/op	     664 B/op	       0 allocs/op
BenchmarkLuartNoCall-10            	    1802	    681305 ns/op	     660 B/op	       0 allocs/op
BenchmarkLuartNoCall-10            	    1777	    681992 ns/op	     669 B/op	       0 allocs/op
BenchmarkLuartNoCall-10            	    1642	    673380 ns/op	     724 B/op	       0 allocs/op
BenchmarkLuartNoCall-10            	    1758	    671770 ns/op	     676 B/op	       0 allocs/op
BenchmarkLuartNoCall-10            	    1777	    671962 ns/op	     669 B/op	       0 allocs/op
BenchmarkGoParticles-10            	  197305	      6081 ns/op	       0 B/op	       0 allocs/op
BenchmarkGoParticles-10            	  197554	      6076 ns/op	       0 B/op	       0 allocs/op
BenchmarkGoParticles-10            	  196162	      6159 ns/op	       0 B/op	       0 allocs/op
BenchmarkGoParticles-10            	  196465	      6120 ns/op	       0 B/op	       0 allocs/op
BenchmarkGoParticles-10            	  191304	      6353 ns/op	       0 B/op	       0 allocs/op
BenchmarkGoParticles-10            	  185983	      6540 ns/op	       0 B/op	       0 allocs/op
BenchmarkLuartParticles-10         	    6738	    177799 ns/op	      19 B/op	       0 allocs/op
BenchmarkLuartParticles-10         	    6766	    177302 ns/op	      19 B/op	       0 allocs/op
BenchmarkLuartParticles-10         	    6657	    181047 ns/op	      20 B/op	       0 allocs/op
